D,T,C
19/09/05,10:00:38,5.410119099999999
19/09/05,10:00:39,5.9704143
19/09/05,10:00:40,5.907420599999999
19/09/05,10:00:41,5.6125707
19/09/05,10:00:42,6.173950199999999
19/09/05,10:00:43,6.7903896
19/09/05,10:00:44,8.826586899999999
19/09/05,10:00:45,11.041135299999999
19/09/05,10:00:46,12.8304893
19/09/05,10:00:47,13.458905899999998
19/09/05,10:00:48,14.020181299999999
19/09/05,10:00:49,13.9509392
19/09/05,10:00:50,11.440175400000001
19/09/05,10:00:51,9.567423400000001
19/09/05,10:00:52,9.1674366
19/09/05,10:00:53,9.3927849
19/09/05,10:00:54,9.217201300000001
19/09/05,10:00:55,9.094833900000001
19/09/05,10:00:56,13.567468599999998
19/09/05,10:00:57,14.1473291
19/09/05,10:00:58,13.1441698
19/09/05,10:00:59,13.6791893
19/09/05,10:01:00,8.6611197
19/09/05,10:01:01,8.8536043
19/09/05,10:01:02,9.592438200000002
19/09/05,10:01:03,9.944555900000001
19/09/05,10:01:04,8.927654800000001
19/09/05,10:01:05,8.948744500000002
19/09/05,10:01:06,12.869357799999998
19/09/05,10:01:07,12.156482700000002
19/09/05,10:01:08,9.715103800000001
19/09/05,10:01:09,11.454555000000003
19/09/05,10:01:10,9.559222400000001
19/09/05,10:01:11,7.389964799999999
19/09/05,10:01:12,9.063393799999998
19/09/05,10:01:13,7.8898006
19/09/05,10:01:14,6.7979102000000005
19/09/05,10:01:15,8.827199400000001
19/09/05,10:01:16,9.161335900000001
19/09/05,10:01:17,9.4409374
19/09/05,10:01:18,9.1950811
19/09/05,10:01:19,9.292104700000001
19/09/05,10:01:20,8.9503149
19/09/05,10:01:21,9.3061228
19/09/05,10:01:22,8.855357500000002
19/09/05,10:01:23,9.0497318
19/09/05,10:01:24,9.175203
19/09/05,10:01:25,9.1024367
19/09/05,10:01:26,9.0444446
19/09/05,10:01:27,9.238988099999998
19/09/05,10:01:28,7.944075500000001
19/09/05,10:01:29,9.267505700000001
19/09/05,10:01:30,9.0474137
19/09/05,10:01:31,9.2608084
19/09/05,10:01:32,9.249671299999997
19/09/05,10:01:33,9.406205199999999
19/09/05,10:01:34,6.6740713
19/09/05,10:01:35,9.0891867
19/09/05,10:01:36,8.9525515
19/09/05,10:01:37,8.7855536
19/09/05,10:01:38,8.7361175
19/09/05,10:01:39,8.8472869
19/09/05,10:01:40,9.5997417
19/09/05,10:01:41,9.618306500000001
19/09/05,10:01:42,8.865414000000001
19/09/05,10:01:43,8.9335582
19/09/05,10:01:44,9.214241100000002
19/09/05,10:01:45,8.770080499999999
19/09/05,10:01:46,9.091006199999999
19/09/05,10:01:47,9.4266741
19/09/05,10:01:48,8.715548900000002
19/09/05,10:01:49,8.898683499999999
19/09/05,10:01:50,8.873463099999999
19/09/05,10:01:51,9.0566765
19/09/05,10:01:52,9.474294299999999
19/09/05,10:01:53,8.6949439
19/09/05,10:01:54,8.7578111
19/09/05,10:01:55,8.950863
19/09/05,10:01:56,8.8221074
19/09/05,10:01:57,9.014063900000002
19/09/05,10:01:58,9.3840959
19/09/05,10:01:59,8.998808000000002
19/09/05,10:02:00,11.3678419
19/09/05,10:02:01,12.9420507
19/09/05,10:02:02,11.624097899999999
19/09/05,10:02:03,9.033621799999999
19/09/05,10:02:04,9.4360313
19/09/05,10:02:05,9.278103600000001
19/09/05,10:02:06,8.7544766
19/09/05,10:02:07,9.0615435
19/09/05,10:02:08,9.5251655
19/09/05,10:02:09,8.948370300000002
19/09/05,10:02:10,9.043270699999999
19/09/05,10:02:11,7.4245404000000015
19/09/05,10:02:12,5.685170300000001
19/09/05,10:02:13,5.804678299999999
19/09/05,10:02:14,4.066305299999999
19/09/05,10:02:15,5.0248036
19/09/05,10:02:16,7.7068211
19/09/05,10:02:17,5.042328400000001
19/09/05,10:02:18,5.571999699999999
19/09/05,10:02:19,5.886580399999999
19/09/05,10:02:20,7.328124700000001
19/09/05,10:02:21,6.0448631
19/09/05,10:02:22,6.4835402
19/09/05,10:02:23,8.0557544
19/09/05,10:02:24,8.287929599999998
19/09/05,10:02:25,9.375503099999998
19/09/05,10:02:26,8.937130300000002
19/09/05,10:02:27,8.934725299999998
19/09/05,10:02:28,9.045666500000001
19/09/05,10:02:29,8.973713499999999
19/09/05,10:02:30,9.097448700000001
19/09/05,10:02:31,9.344487
19/09/05,10:02:32,9.4793445
19/09/05,10:02:33,9.424012399999999
19/09/05,10:02:34,8.820198400000002
19/09/05,10:02:35,8.9058689
19/09/05,10:02:36,14.9571168
19/09/05,10:02:37,8.9835678
19/09/05,10:02:38,9.2775865
19/09/05,10:02:39,9.091067799999998
19/09/05,10:02:40,9.018759500000002
19/09/05,10:02:41,9.102970599999999
19/09/05,10:02:42,9.499180400000002
19/09/05,10:02:43,8.1714558
19/09/05,10:02:44,10.005814099999998
19/09/05,10:02:45,7.971806500000001
19/09/05,10:02:46,9.000205700000002
19/09/05,10:02:47,9.046043599999997
19/09/05,10:02:48,6.045535299999999
19/09/05,10:02:49,7.479484799999999
19/09/05,10:02:50,7.0843187
19/09/05,10:02:51,5.475622500000001
19/09/05,10:02:52,6.292075700000002
19/09/05,10:02:53,6.854429700000001
19/09/05,10:02:54,6.902075799999999
19/09/05,10:02:55,6.302347
19/09/05,10:02:56,6.750712600000001
19/09/05,10:02:57,7.0840019000000005
19/09/05,10:02:58,7.775749899999999
19/09/05,10:02:59,8.1031222
19/09/05,10:03:00,8.0973402
19/09/05,10:03:01,9.2748848
19/09/05,10:03:02,9.4019257
19/09/05,10:03:03,10.3612272
19/09/05,10:03:04,12.554707600000002
19/09/05,10:03:05,11.432903
19/09/05,10:03:06,14.001305700000003
19/09/05,10:03:07,9.0893558
19/09/05,10:03:08,8.838340200000003
19/09/05,10:03:09,9.220723200000002
19/09/05,10:03:10,16.8841805
19/09/05,10:03:11,9.056540999999998
19/09/05,10:03:12,9.361846300000002
19/09/05,10:03:13,8.6018415
19/09/05,10:03:14,9.6836637
19/09/05,10:03:15,9.420455399999998
19/09/05,10:03:16,8.838338300000002
19/09/05,10:03:17,9.6257111
19/09/05,10:03:18,13.1362059
19/09/05,10:03:19,9.060702
19/09/05,10:03:20,22.196001200000005
19/09/05,10:03:21,14.0734698
19/09/05,10:03:22,15.861800600000002
19/09/05,10:03:23,12.011613
19/09/05,10:03:24,8.9542114
19/09/05,10:03:25,20.0545738
19/09/05,10:03:26,20.1439028
19/09/05,10:03:27,19.8312691
19/09/05,10:03:28,19.232141000000002
19/09/05,10:03:29,18.9071517
19/09/05,10:03:30,18.756617000000002
19/09/05,10:03:31,19.8410977
19/09/05,10:03:32,17.0539587
19/09/05,10:03:33,22.991786300000005
19/09/05,10:03:34,13.8437387
19/09/05,10:03:35,15.792961700000001
19/09/05,10:03:36,18.327331599999997
19/09/05,10:03:37,22.0307717
19/09/05,10:03:38,22.9043768
19/09/05,10:03:39,16.781337299999997
19/09/05,10:03:40,18.8476101
19/09/05,10:03:41,11.9012615
19/09/05,10:03:42,13.1050314
19/09/05,10:03:43,20.2394178
19/09/05,10:03:44,19.190686200000002
19/09/05,10:03:45,18.803336700000006
19/09/05,10:03:46,17.766224799999996
19/09/05,10:03:47,19.9072334
19/09/05,10:03:48,16.6557777
19/09/05,10:03:49,18.041195000000002
19/09/05,10:03:50,16.6916116
19/09/05,10:03:51,20.139441299999998
19/09/05,10:03:52,17.3375595
19/09/05,10:03:53,17.3734069
19/09/05,10:03:54,15.778821300000002
19/09/05,10:03:55,17.967921699999998
19/09/05,10:03:56,15.643864899999997
19/09/05,10:03:57,21.806418399999995
19/09/05,10:03:58,14.842427699999998
19/09/05,10:03:59,13.447237799999998
19/09/05,10:04:00,14.813904600000003
19/09/05,10:04:01,15.2383701
19/09/05,10:04:02,12.1594339
19/09/05,10:04:03,22.0792838
19/09/05,10:04:04,8.714590600000001
19/09/05,10:04:05,17.7593911
19/09/05,10:04:06,9.0498674
19/09/05,10:04:07,13.749307899999998
19/09/05,10:04:08,17.328184399999998
19/09/05,10:04:09,9.3012719
19/09/05,10:04:10,20.0515492
19/09/05,10:04:11,19.7946995
19/09/05,10:04:12,11.0703306
19/09/05,10:04:13,21.4040187
19/09/05,10:04:14,8.9098783
19/09/05,10:04:15,18.0642965
19/09/05,10:04:16,12.147578799999998
19/09/05,10:04:17,11.4518074
19/09/05,10:04:18,17.0357442
19/09/05,10:04:19,14.2532594
19/09/05,10:04:20,20.0605849
19/09/05,10:04:21,22.7567087
19/09/05,10:04:22,16.688589199999996
19/09/05,10:04:23,20.4205289
19/09/05,10:04:24,19.8004098
19/09/05,10:04:25,21.696346400000003
19/09/05,10:04:26,19.4293659
19/09/05,10:04:27,19.3082707
19/09/05,10:04:28,17.173822799999996
19/09/05,10:04:29,22.784232499999998
19/09/05,10:04:30,19.5083424
19/09/05,10:04:31,19.8680636
19/09/05,10:04:32,19.5497476
